id,text,used
1,恋愛において一番大切なのは相手を変えようとすることじゃない。相手をありのまま受け入れる勇気と、合わないと思ったら離れる勇気、この2つのバランスなんだよね。無理に変えようとしても疲れるだけだし、相手も息苦しくなる。でも全部我慢して受け入れるのも違う。大事なのは、この人となら一緒に成長できるかどうかを見極めること。,False
2,失恋して立ち直れないって思ってる人に伝えたい。今は信じられないかもしれないけど、その痛みは永遠じゃないから。時間が解決してくれるって言葉は嘘じゃないけど、ただ待ってるだけじゃダメ。新しいことに挑戦して、新しい自分を見つけて、新しい景色を見に行って。そうやって前に進んでるうちに、気づいたら過去の恋愛が小さく見えてくる日が必ず来るから。,False
3,彼氏ができない女の子って「私なんて」が口癖になってること多いんだよね。でもさ、自分で自分の価値を下げてたら、周りもその通りに扱ってくるよ。まず自分が自分の一番のファンになること。朝起きて鏡見て「今日もかわいい」って言ってみて。自分を大切にしてる人のところに、大切にしてくれる人が現れるようになってるから。,False
4,付き合い始めの頃のドキドキって最高だよね。でも本当の愛はそのドキドキが落ち着いてからが勝負。日常の中で相手を思いやれるか、ケンカしても向き合えるか、お互いの成長を応援できるか。そういう地味だけど大切なことの積み重ねが、10年後も20年後も続く関係を作るんだよ。ドキドキだけじゃ続かないけど、それがなくなっても大丈夫な関係が本物。,False
5,男性諸君に言いたいんだけど、彼女の機嫌が悪いときに「生理？」って聞くのマジでやめて。女性の感情を全部ホルモンのせいにするのは失礼だし、本当の問題から目を背けてるだけ。機嫌が悪いなら理由があるはず。ちゃんと向き合って話を聞いてあげて。それができる男性こそ、長く愛される男性になれるんだから。,False
6,恋愛で一番もったいないのは、好きじゃない人に時間を使うこと。情で付き合ってる、寂しいから一緒にいる、そんな関係続けてても幸せにはなれないよ。その時間があったら、自分磨きしたり、新しい出会いを探したり、本当に好きな人を見つけるために使った方がいい。人生は短いんだから、妥協してる暇なんてないでしょ？,False
7,女友達が恋愛相談してきたときにさ、「その男やめとけ」って思っても言えないことあるよね。でも本当の友達なら正直に言ってあげるべき。傷つくかもしれないけど、ダメ男と付き合って時間無駄にするより全然マシ。友達として、幸せになってほしいから厳しいことも言う。それが本当の優しさだと思うんだ。,False
8,結婚したいって焦ってる人多いけど、焦って選んだ相手と一生過ごすことの方が怖くない？結婚はゴールじゃなくてスタート。毎日顔合わせて、一緒に問題解決して、子育てもして、老後も一緒。そう考えたら、タイミングより相手選びの方が100倍大事。いい人と出会えるまで待つ勇気も必要だよ。焦らなくて大丈夫、あなたにピッタリの人は必ずいるから。,False
9,元カレのSNS見ちゃダメって分かってるのに見ちゃう人いるでしょ？その気持ちめっちゃ分かる。でもそれって傷口に塩塗ってるようなもの。見て幸せになれないなら見ない方がいい。ブロックするのも愛情じゃなくて自分を守るため。過去より今を大切にして、新しい幸せ見つけに行こう。元カレが誰と何してようと、もうあなたには関係ないんだから。,False
10,「重い女」って言われるのが怖くて本音言えない子多いけど、そもそも本音も受け止められない男と付き合う意味ある？愛情表現が豊かなのは素敵なことだし、真剣に向き合いたいって思うのも当然。それを重いって言う男は、ただ責任取りたくないだけ。あなたの愛情を全部受け止めて、同じくらい返してくれる人が本当にいい男だよ。,False
11,浮気する男って「一度だけの過ち」とか言うけど、浮気って過ちじゃなくて選択なんだよね。相手を裏切ることを選んで、嘘をつくことを選んで、信頼を壊すことを選んだ。それを過ちで済ませようとする男は、また同じこと繰り返すよ。本当に反省してるなら行動で示すはず。言葉だけの謝罪に騙されないで。あなたはもっと誠実な人に愛される価値がある。,False
12,付き合ってる時に「俺といると幸せ？」って聞いてくる男いるけど、それ聞かなきゃ分からない時点でヤバくない？本当に幸せにしてる自信があるなら聞く必要ないし、彼女の表情見れば分かるはず。不安なら幸せにする努力すればいいのに、確認だけして安心しようとするのは違う。行動で幸せにしてくれる人を選んでね。,False
13,恋愛がうまくいかない原因を全部自分のせいにしちゃう人いるけど、それ違うから。関係って二人で作るものだし、相性もある。あなたが悪いんじゃなくて、ただ合わなかっただけ。自分を責めるエネルギーがあるなら、次はもっと素敵な人と出会うために使おう。失敗は成功のもと。恋愛も同じで、経験積むほど良い相手を見極められるようになるよ。,False
